Price;Volume;DateTime
0;26.15;300;2020-12-03 10:09:00.055270
1;26.15;900;2020-12-03 10:09:00.055270
2;26.15;3400;2020-12-03 10:09:00.055270
3;26.15;5000;2020-12-03 10:09:00.055270
4;26.15;500;2020-12-03 10:09:00.055270
5;26.15;500;2020-12-03 10:09:00.055270
6;26.15;500;2020-12-03 10:09:00.055270
7;26.15;3500;2020-12-03 10:09:00.055270
8;26.15;500;2020-12-03 10:09:00.055270
9;26.15;6700;2020-12-03 10:09:00.055270
10;26.15;20000;2020-12-03 10:09:00.055270
11;26.15;1900;2020-12-03 10:09:00.055270
12;26.15;1900;2020-12-03 10:09:00.055270
13;26.15;7500;2020-12-03 10:09:00.055270
14;26.15;3000;2020-12-03 10:09:00.055270
15;26.15;300;2020-12-03 10:09:00.055270
16;26.15;300;2020-12-03 10:09:00.055270
17;26.15;900;2020-12-03 10:09:00.055270
18;26.15;200;2020-12-03 10:09:00.055270
19;26.15;400;2020-12-03 10:09:00.055270
20;26.15;300;2020-12-03 10:09:00.055270
21;26.15;2000;2020-12-03 10:09:00.055270
22;26.15;400;2020-12-03 10:09:00.055270
23;26.15;1000;2020-12-03 10:09:00.055270
24;26.15;100;2020-12-03 10:09:00.055270
25;26.15;200;2020-12-03 10:09:00.055270
26;26.15;2000;2020-12-03 10:09:00.055270
27;26.15;500;2020-12-03 10:09:00.055270
28;26.15;200;2020-12-03 10:09:00.055270
29;26.15;200;2020-12-03 10:09:00.055270
30;26.15;2800;2020-12-03 10:09:00.055270
31;26.15;100;2020-12-03 10:09:00.055270
32;26.15;500;2020-12-03 10:09:00.055270
33;26.15;500;2020-12-03 10:09:00.055270
34;26.15;800;2020-12-03 10:09:00.055270
35;26.15;600;2020-12-03 10:09:00.055270
36;26.15;3700;2020-12-03 10:09:00.055270
37;26.15;300;2020-12-03 10:09:00.055270
38;26.15;300;2020-12-03 10:09:00.055270
39;26.15;1000;2020-12-03 10:09:00.055270
40;26.15;100;2020-12-03 10:09:00.055270
41;26.15;8300;2020-12-03 10:09:00.055270
42;26.15;1700;2020-12-03 10:09:00.055270
43;26.15;2000;2020-12-03 10:09:00.055270
44;26.15;1500;2020-12-03 10:09:00.055270
45;26.15;200;2020-12-03 10:09:00.055270
46;26.15;8100;2020-12-03 10:09:00.055270
47;26.15;100;2020-12-03 10:09:00.055270
48;26.15;400;2020-12-03 10:09:00.055270
49;26.15;400;2020-12-03 10:09:00.055270
50;26.15;600;2020-12-03 10:09:00.055270
51;26.15;100;2020-12-03 10:09:00.055270
52;26.15;400;2020-12-03 10:09:00.055270
53;26.15;4600;2020-12-03 10:09:00.055270
54;26.15;100;2020-12-03 10:09:00.055270
55;26.15;100;2020-12-03 10:09:00.055270
56;26.15;100;2020-12-03 10:09:00.055270
57;26.15;100;2020-12-03 10:09:00.055270
58;26.15;700;2020-12-03 10:09:00.055270
59;26.15;1900;2020-12-03 10:09:00.055270
60;26.15;2400;2020-12-03 10:09:00.055270
61;26.15;100;2020-12-03 10:09:00.055270
62;26.15;500;2020-12-03 10:09:00.055270
63;26.15;1000;2020-12-03 10:09:00.055270
64;26.15;100;2020-12-03 10:09:00.055270
65;26.15;100;2020-12-03 10:09:00.055270
66;26.15;100;2020-12-03 10:09:00.055270
67;26.15;100;2020-12-03 10:09:00.055270
68;26.15;100;2020-12-03 10:09:00.055270
69;26.15;100;2020-12-03 10:09:00.055270
70;26.15;100;2020-12-03 10:09:00.055270
71;26.15;100;2020-12-03 10:09:00.055270
72;26.15;100;2020-12-03 10:09:00.055270
73;26.15;4800;2020-12-03 10:09:00.055270
74;26.15;100;2020-12-03 10:09:00.055270
75;26.15;200;2020-12-03 10:09:00.055270
76;26.15;100;2020-12-03 10:09:00.055270
77;26.15;1000;2020-12-03 10:09:00.055270
78;26.15;200;2020-12-03 10:09:00.055270
79;26.15;200;2020-12-03 10:09:00.055270
80;26.15;200;2020-12-03 10:09:00.055270
81;26.15;100;2020-12-03 10:09:00.055270
82;26.15;1000;2020-12-03 10:09:00.055270
83;26.15;1000;2020-12-03 10:09:00.055270
84;26.15;100;2020-12-03 10:09:00.055270
85;26.15;8100;2020-12-03 10:09:00.055270
86;26.15;1000;2020-12-03 10:09:00.055270
87;26.15;700;2020-12-03 10:09:00.055270
88;26.15;100;2020-12-03 10:09:00.055270
89;26.15;100;2020-12-03 10:09:00.055270
90;26.15;500;2020-12-03 10:09:00.055270
91;26.15;100;2020-12-03 10:09:00.055270
92;26.15;600;2020-12-03 10:09:00.055270
93;26.15;100;2020-12-03 10:09:00.055270
94;26.15;500;2020-12-03 10:09:00.055270
95;26.15;1200;2020-12-03 10:09:00.055270
96;26.15;100;2020-12-03 10:09:00.055270
97;26.15;100;2020-12-03 10:09:00.055270
98;26.15;400;2020-12-03 10:09:00.055270
99;26.15;1700;2020-12-03 10:09:00.055270
100;26.15;300;2020-12-03 10:09:00.055270
101;26.15;500;2020-12-03 10:09:00.055270
102;26.15;200;2020-12-03 10:09:00.055270
103;26.15;1000;2020-12-03 10:09:00.055270
104;26.15;200;2020-12-03 10:09:00.055270
105;26.15;100;2020-12-03 10:09:00.055270
106;26.15;100;2020-12-03 10:09:00.055270
107;26.15;200;2020-12-03 10:09:00.055270
108;26.15;1000;2020-12-03 10:09:00.055270
109;26.15;500;2020-12-03 10:09:00.055270
110;26.15;100;2020-12-03 10:09:00.055270
111;26.15;100;2020-12-03 10:09:00.055270
112;26.15;100;2020-12-03 10:09:00.055270
113;26.15;100;2020-12-03 10:09:00.055270
114;26.15;100;2020-12-03 10:09:00.055270
115;26.15;100;2020-12-03 10:09:00.055270
116;26.15;100;2020-12-03 10:09:00.055270
117;26.15;800;2020-12-03 10:09:00.055270
118;26.15;1600;2020-12-03 10:09:00.055270
119;26.15;100;2020-12-03 10:09:00.055270
120;26.15;300;2020-12-03 10:09:00.055270
121;26.15;700;2020-12-03 10:09:00.055270
122;26.15;100;2020-12-03 10:09:00.055270
